Organic Broccoli,2.99/lb
Organic Bunched Celery,2.69
"Vital Farms Pasture-raised Alfresco Eggs, 24 oz",5.99
"Organic Valley Organic Large Brown Eggs, 24 oz",4.99
Organic Tomato On The Vine,2.99/lb
Beyond Meat Beyond Burger,4.99
Organic Green Kale,2.29
"Vital Proteins Unflavored Collagen Peptides, 20 oz",43.99
"Siete Family Foods Almond Flour Amazing Grain Free Tortillas, 7 oz",8.29
Organic Ginger Root,3.99/lb
Valid 1/12 - 1/18 Easy Peel White Shrimp 8-12 Count,19.99/lb
Beyond Meat Beyond Beef Plant-based Ground Beef,8.99
Organic Cripps Pink Apple,2.79/lb
"JUST Egg Just Egg, 12 fl oz",4.19
Organic D Anjou Pear,2.49/lb
Nature's Rancher Organic Grass Fed Ground Beef 85% Lean 15% Fat,7.49
"Califia Farms Unsweetened Almond Milk, 48 fl oz",4.49
Beyond Meat Hot Italian Beyond Sausage,9.69
"Siete Family Foods Cassava & Coconut Amazing Grain Free Tortillas, 7 oz",8.29
Klare Melk Truffle Gouda,24.99/lb
"LaCroix Sparkling Water Grapefruit Sparkling Water, 12 fl oz",5.99
Organic Dino Kale,2.29
"Vital Proteins Collagen Peptide Protein Powder, 10 oz",25.49
Organic Red Bell Pepper,3.99/lb
Organic Gold Creamer Potatoes,4.99
Bell & Evans Whole Chicken,2.99/lb
Califia Farms Dairy Free Oat Barista Blend 32oz,4.29
"Evolution Fresh Cold Pressed Organic Pure Orange, 59 fl oz",9.99
"Essentia 1.5L Single, 50.7 fl oz",2.69
Beyond Meat Brat Original Beyond Sausage,9.69
Whole Foods Market Organic Chicken Thighs,5.49/lb
Whole Foods Market Organic Chicken Thighs,5.49/lb
LaCroix Sparkling Water LaCroix Lime Sparkling Water (12-pk),5.99
"Siete Family Foods Sea Salt Grain Free Tortilla chips, 5 oz",4.99
"JUST Egg Folded, 8 oz",4.29
"Horizon Organic Organic American Cheese Slices 8oz, 12 slices",4.99
"MALK Organics Almond Malk Unsweetened, 28 fl oz",5.99
"Good Culture Organic Low-Fat Classic Cottage Cheese, 2% Milk Fat, 16 oz",5.49
"Califia Farms Unsweetened Oatmilk, 48 fl oz",4.49
Tasteful Selections Organic Ruby Sensations Potatoes,4.99
"Califia Farms Unsweetened Vanilla Almond Milk, 48 fl oz",4.49
GT's Synergy Kombucha Organic Gingerade 16oz,3.49
LaCroix Sparkling Water Naturally Tangerine Essenced Sparkling Water (12 Pk),5.99
